Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Refugees, resettlement experiences and mental health: A systematic review of case studies","Bulik, Karin Juliane Duvoisin; Colucci, Erminia ","Objective: In 2017 the number of refugees around the world reached 25.4 million. These people make up one of the most vulnerable populations globally. This study aims to understand the strategies refugees used to cope with the impact on their mental health by the difficult pre-and post-resettlement circumstances they encountered. Method(s): A systematic review of articles reporting case studies concerning adult refugees' experiences in the hosting country. The electronic databases searched were: PubMed, The Cochrane Library, PsycINFO, Embase, Scopus and Web of Science. Eligible manuscripts were examined through a narrative synthesis. Result(s): Twenty-two articles fitted the inclusion criteria and four main themes were highlighted: reasons for fleeing; the impact of negative experiences on mental health; supportive experiences and coping strategies; and experiences of mental health treatment. Conclusion(s): Refugees present a significant impact on mental health due to pre-and post-migration experiences. The approach offered to this group and reported as the most effective to deal with such an impact was the multidimensional approach that, besides caring for the psychic aspects, contemplated the cultural context of each one, assisted in housing, employment, financial aid, support with learning the new language and social activities.Copyright © 2019, Editora Cientifica Nacional Ltda. All rights reserved.",2019,/,Jornal Brasileiro de Psiquiatria,68,2,121-132,,http://dx.doi.org/10.1590/0047-2085000000235,2002601716,#230,Bulik 2019,Exclusion reason: Wrong intervention; ,Check ref list
Differences in the health transition patterns of migrants and non-migrants aged 50 and older in southern and western Europe (2004-2015),"Mulder, Clara H.; Reus-Pons, Matias; Kibele, Eva U.B.; Janssen, Fanny ","Background: Most previous research on migrant health in Europe has taken a cross-sectional perspective, without a specific focus on the older population. Having knowledge about inequalities in health transitions over the life course between migrants and non-migrants, including at older ages, is crucial for the tailoring of policies to the demands of an ageing and culturally diverse society. We analyse differences in health transitions between migrants and non-migrants, specifically focusing on the older population in Europe. Method(s): We used longitudinal data on migrants and non-migrants aged 50 and older in 10 southern and western European countries from the Survey of Health, Ageing and Retirement in Europe (2004-2015). We applied multinomial logistic regression models of experiencing health deterioration among individuals in good health at baseline, and of experiencing health improvement among individuals in poor health at baseline, separately by sex, in which migrant status (non-migrant, western migrant, non-western migrant) was the main explanatory variable. We considered three dimensions of health, namely self-rated health, depression and diabetes. Result(s): At older ages, migrants in Europe were at higher risk than non-migrants of experiencing a deterioration in health relative to remaining in a given state of self-rated health. Western migrants had a higher risk than non-migrants of becoming depressed, while non-western migrants had a higher risk of acquiring diabetes. Among females only, migrants also tended to be at lower risk than non-migrants of experiencing an improvement in both overall and mental health. Differences in the health transition patterns of older migrants and non-migrants remained robust to the inclusion of several covariates, including education, job status and health-related behaviours. Conclusion(s): Our findings indicate that, in addition to having a health disadvantage at baseline, older migrants in Europe were more likely than older non-migrants to have experienced a deterioration in health over the study period. These results raise concerns about whether migrants in Europe are as likely as non-migrants to age in good health. We recommend that policies aiming to promote healthy ageing specifically address the health needs of the migrant population, thereby distinguishing migrants from different backgrounds.Copyright © 2018 The Author(s).",2018,/,BMC Medicine,16,1,57,,http://dx.doi.org/10.1186/s12916-018-1044-4,621748107,#273,Mulder 2018,Exclusion reason: Wrong outcomes; ,""
Migrant perinatal depression study: A prospective cohort study of perinatal depression on the Thai-Myanmar border,"Fitzpatrick, Raymond; Fellmeth, Gracia; Carrara, Verena; Oo, May May; Phichitphadungtham, Yuwapha; Pimanpanarak, Mupawjay; Wai, Naw Kerry; Mu, Oh; Plugge, Emma H.; Nosten, Francois; McGready, Rose; Fazel, Mina; Charunwatthana, Prakaykaew ","Purpose Perinatal depression is a significant contributor to maternal morbidity. Migrant women in resource-poor settings may be at increased risk, yet little research has been conducted in low-income and middle-income settings. This prospective cohort study of migrant women on the Thai-Myanmar border aims to establish prevalence of perinatal depression, identify risk factors for perinatal depression and examine associations with infant outcomes. Participants Participating women are labour migrants and refugees living on the Thai-Myanmar border. A total of 568 women were recruited in their first trimester of pregnancy and are being followed up to 1-year postpartum. Findings to date At baseline, women in our study had a median age of 25 years, the predominant ethnicity was Sgaw Karen (48.9%), agriculture was the main employment sector (39.2%) and educational attainment was low with a median of 4 years of education. In the first trimester of pregnancy, a quarter (25.8%; 95% CI 22.3 to 29.5) of all women were depressed as diagnosed by the Structured Clinical Interview for the Diagnosis of DSM-IV Disorders. Future plans Follow-up is ongoing and expected to continue until January 2018. The prevalence of depression at later stages of pregnancy and during the first postpartum year will be identified, and associations between depression status and demographic, social, migration-related, medical, obstetric and infant factors will be quantified. Trial registration number NCT02790905.Copyright © 2018 Article author(s).",2018,/,BMJ Open,8,1,e017129,,http://dx.doi.org/10.1136/bmjopen-2017-017129,620205329,#274,Fitzpatrick 2018,Exclusion reason: Wrong intervention; ,""
In reply,"Saadi, Altaf; Ahmed, Sameer; Katz, Mitchell H. ",,2018,/,JAMA - Journal of the American Medical Association,319,16,1727-1728,,http://dx.doi.org/10.1001/jama.2018.1373,621927768,#277,Saadi 2018,Exclusion reason: Wrong patient population; ,""
"The effect of Ginkgo biloba and psycho-education on stress, anxiety and fatigue among refugees","Alsmadi, Ahmed Mohammad; Tawalbeh, Loai. Issa.; Gammoh, Omar Salem; Zalloum, Waleed; Shawagfeh, Mohammad Qassem; Ashour, Ala; Attarian, Hrayr ","Background: Refugees and war survivors are at higher risk of developing mental health disorders. Anxiety and stress are caused by many factors, including a stressful environment that could cause fatigue and low quality of life. Despite the existence of many synthetic anxiolytic and antidepressant drugs, symptom management has still not been successful. Ginkgo biloba extract has been used as one of the potential herbal remedies to enhance cognitive functions. Psycho-education plays a significant role in alleviating psychological distress. However, the role of G. biloba in alleviating anxiety, stress and fatigue among refugees was not well studied previously. Objective(s): In this study, we aimed to compare the effect of G. biloba and psycho-education with only psycho-education on refugees' anxiety, stress and fatigue. Method(s): A randomized controlled, pre-test-post-test design was used. Data were measured at baseline and 6 weeks later. Result(s): Providing psycho-education for the control group showed a non-significant improvement in outcome variables. However, adding G. biloba to psycho-education for the experimental group showed a significant reduction in mental, physical, activity fatigue and anxiety. Conclusion(s): The addition of G. biloba to the psycho-education proved superior to psycho-education alone. Therefore, combining the two approaches is beneficial in alleviating anxiety and fatigue.Copyright © 2017, © The Author(s) 2017.",2018,/,Proceedings of Singapore Healthcare,27,1,26-32,,http://dx.doi.org/10.1177/2010105817716184,621926765,#278,Alsmadi 2018,Exclusion reason: Wrong patient population; ,""
Problems faced by women refugees: An overview,"Carisius Kastrup, M. ","Women and men have different life conditions, they are exposed to different traumata and experiences of trust. Trust depends upon refugee women's sense of security publicly and at home and data demonstrates that public interest in sexual harassment and abuse is associated to women's general level of anxiety and sense of victimhood. There is increasing attention paid to providing comprehensive care to refugee women recognising that many are subjected to other severe forms of abuse frequently of a sexual nature. Further, they frequently come from societies where women's role is primarily centred round the home. Such women may need particular attention when having to cope with the refugee situation in order to avoid that their particular needs are neglected in the host country when it comes to integration initiatives. Many migrant women may feel dis-empowered when coming to a new environment, and therapeutic interventions should have empowerment as a goal helping such women to develop skills to gain control over their life without infringing on others rights. To achieve this we have to listen and support the proposals to solutions these women bring forward even if they do not coincide with our own ideas, discuss their solutions and try to understand their cognitive and emotional world view by building a bridge over cultural incongruence. But also to support any initiative that may diminish women's confidence in being protected against violence and abuse at home. This is a major public health issue presently and a challenge to psychiatry.",2018,/,European Psychiatry,48,Supplement 1,S55,,http://dx.doi.org/10.1016/j.eurpsy.2017.12.013,622873191,#291,CarisiusKastrup 2018,Exclusion reason: No full text; ,""
Mental health of immigrants and refugees seeking legal services on the US-Mexico border,"Paat, Yok-Fong; Green, Rachel ","The debates on the mental health benefits associated with immigration are mixed. On the one hand, immigrants are provided with more opportunities not available in their home countries. On the other hand, they are far away from home and may have been exposed to traumatic experiences on their journeys to the receiving country. Even after settling down in the receiving country, most continue to face legal battles associated with their immigration status, as shown in this study. This study examined the risk and protective factors associated with the mental health conditions in a sample of 39 immigrants and refugees seeking legal services on the US-Mexico border. Participants were recruited from a southwestern community agency serving the region's immigrant population over the past three decades. Negative mental health states including stress, sadness, and anxiety were frequently reported by the participants. Six themes were identified as significantly related to the participants' adjustment in the US: (1) political turmoil and safety issues; (2) economic hardship and extreme poverty; (3) trauma before and after resettlement; (4) immigration status; (5) family relational strain; and (6) identity struggle and acculturation. Overall, results demonstrate the complexity of issues pertaining to cross-country migration, cultural sensitivities, and mental health.Copyright © 2017, © The Author(s) 2017.",2017,/,Transcultural Psychiatry,54,5-6,783-805,,http://dx.doi.org/10.1177/1363461517746316,619712326,#303,Paat 2017,Exclusion reason: Wrong intervention; ,""
Illnesses of isolation: detention of asylum seekers,"Kenyon, Georgina ",,2017,/,The Lancet. Infectious diseases,17,10,1028-1029,,http://dx.doi.org/10.1016/S1473-3099%2817%2930529-7,624474834,#309,Kenyon 2017,Exclusion reason: Wrong patient population; ,""
Turkish Migrant Women with Recurrent Depression: Results from Community-based Self-help Groups,"Siller, Heidi; Renner, Walter; Juen, Barbara ","The study focuses on psychosocial functioning of female Turkish immigrants in Austria with recurrent depressive disorder participating in self-help groups. Self-help groups guided by group leaders of Turkish descent should increase autonomy in participants, providing the opportunity to follow their ethnic health beliefs. Turkish immigrant women (n = 43) with recurrent depressive disorder participated in self-help groups over four months. Qualitative data of participants and group leaders, containing interviews, group protocols and supervision protocols of group leaders were analyzed using the qualitative content analysis for effects on psychosocial function, such as interaction with others, illness beliefs and benefit from self-help group. Women reported feelings of being neglected and violated by their husbands. They stated that they had gained strength and had emancipated themselves from their husbands. Self-help groups functioned as social resources and support for changes in participants' lives. Further interventions should integrate the functional value of depressive symptoms and focus on social support systems and social networks.Copyright © 2017 Taylor & Francis Group, LLC.",2017,/,Behavioral Medicine,43,2,129-141,,http://dx.doi.org/10.1080/08964289.2015.1111858,610434427,#310,Siller 2017,Exclusion reason: Wrong outcomes; ,""
"Caring for syrian refugees in portland, Oregon","Reda, Omar ",,2017,/,American Journal of Psychiatry,174,4,311-312,,http://dx.doi.org/10.1176/appi.ajp.2017.17020187,615229514,#314,Reda 2017,Exclusion reason: Wrong intervention; ,""
"Improved depression, anxiety and quality of life in hispanic immigrants one-year after epilepsy surgery","Smith, Jason; Armacost, Michelle; Ensign, Emily; Shaw, Susan; Jimenez, Nora; Liu, Charles ","Research Objectives: To investigate changes in depression, anxiety and quality of life (QOL) in a Hispanic, primarily immigrant and monolingual Spanish-speaking population at one-year post-surgery for intractable epilepsy.DesignRetrospective study. Individuals' pre-surgical depression, anxiety and QOL scores were compared with their one-year post-surgical scores. Established classifications of depression and anxiety severity (i.e., minimal, mild, moderate or severe) were used to analyze incidence of clinical depression and anxiety at one-year post-surgery. Setting(s): A comprehensive epilepsy treatment center in an urban, public health setting in Los Angeles, California. Participant(s): Adult, Hispanic, primarily immigrant, Spanish-speaking patients (n=47) undergoing surgery for intractable epilepsy between 2008 and 2014, and who completed pre-surgical and one-year post-surgical neuropsychological evaluation were included. Intervention(s): Resective surgery for intractable epilepsy.Main Outcome Measure(s)Beck Depression Inventory-II (BDI-II), Beck Anxiety Inventory (BAI) and the Quality of Life in Epilepsy-31 (QOLIE-31). Result(s): Paired sample t-tests revealed significant improvements at or beyond, the p <.05 level, on BDI-II, BAI and all QOLIE-31 subscale scores one-year post-surgery, when compared to pre-surgery. McNemar chi-square analyses revealed that the incidence of clinical depression (p =.006) and anxiety (p =.007) was significantly less frequent at 1-year post-surgery. Improvements were robust and unaffected by gender, education, or surgical hemisphere. Effect sizes were medium to large on the BDI-II and majority QOLIE-31 subscales, with small effects on the BAI and remaining QOLIE-31 subscales.Conclusion/DiscussionThis study documents the benefits of epilepsy surgery on depression, anxiety and QOL in a Hispanic, primarily immigrant, Spanish-speaking population of people with epilepsy (PWE) in the southwestern US. These results are useful for educating this unique and under-served population about the possible benefits of surgery for intractable epilepsy and can enhance pre-surgical counseling.",2017,/,Archives of Physical Medicine and Rehabilitation,98,10,e74-e75,,http://dx.doi.org/10.1016/j.apmr.2017.08.234,618810713,#323,Smith 2017,Exclusion reason: No full text; ,""
"Psychosocial factors in prosalute, an ongoing cardiovascular health program in a multiethnic community in north Italy","Gorini, A.; Simonelli, N.; Vigo, L.; Giroli, M.; Amato, M.; Veglia, F.; Bonomi, A.; Tremoli, E.; Werba, J.P. ","Introduction: Psychosocial factors have a major role in coronary heart disease (CHD). In particular, individuals with anxiety, depression and low social support are at increased risk of first occurrence, recurrence and mortality of CHD events. Yet, psychosocial factors are seldom assessed systematically in cardiovascular primary prevention programs. Objective(s): To evaluate prevalence and features associated with psychosocial heart-threatening factors among participants to ProSALUTE, an experimental Cardiovascular Health Program carried out in a lowincome and multiethnic community from a peripheral neighborhood of Milan, Italy Methods: ProSALUTE involves residents of both genders aged 40 to 65. This study refers to the first 260 subjects (57% females) that adhered to the Program (among 1300 contacts). Prevalence of immigrants was similar in the sample (34%) and in the population (38%), suggesting fair inclusion. Psychosocial variables were assessed using the following questionnaires:PHQ4 for anxiety and depression and FSSQ for social support. Considering multi-ethnicity, tools were administered in 5 different languages. Univariate and multivariate analyses were performed to assess associations between psychosocial variables and demographic and lifestyle characteristics. Result(s): Scores for anxiety, depression and social support were above the standard cutoff in 27%, 16% and 20% of the sample, respectively. In univariate analyses, anxiety negatively correlated with education (r=- 0.5; p < 0.05), depression negatively correlated with education (r=-0.4; p < 0.005) and positively with smoking habit (r=0.6; p < 0.05) and immigrant status (r=0.4; p=0.06) whereas low social support positively correlated with immigrant status (r=-0.3; p< 0.005, respectively) Conclusion(s): At least 1 heart-threatening psychosocial condition affects 63% of participants in ProSALUTE. Education level and immigrant status seem to be the most influent determinants of adverse psychosocial factors, suggesting the need of personalized preventative interventions for these conditions.",2017,/,"Nutrition, Metabolism and Cardiovascular Diseases",27,1,e24-e25,,http://dx.doi.org/10.1016/j.numecd.2016.11.067,614265189,#326,Gorini 2017,Exclusion reason: No full text; ,""
CASP - An intervention by community volunteers to reduce suicidal behaviour among refugees,"Sriram, Savitha; Vijayakumar, Lakshmi; Mohanraj, Rani; Kumar, Shuba; Jeyaseelan, Visalakshi; Shanmugam, Madhumathi ","BACKGROUND: Refugees are at risk of psychiatric morbidity because of forced migration, traumatic events and resettlement in unfamiliar environments. Many live in low- and middle-income countries (LAMIC) under stressful conditions contributing to increased suicide risk., AIMS: This study assessed the feasibility of regular contact and use of safety planning cards (CASP) by community volunteers (CVs) in reducing suicidal behaviour among Sri Lankan refugees residing in camps in Tamil Nadu, South India., METHODS: A household survey was carried out on consenting adults in two refugee camps - one intervention and one control - randomly selected using lottery method. The primary outcome was reduction in suicidal behaviour. Experience of trauma during war and migration, depression, post-traumatic stress and alcohol use were documented. Individuals scoring >16 on Centre for Epidemiological Studies Depression (CESD) or >30 on Post-traumatic Stress Disorder (PTSD) or with active/passive suicidal ideation or a history of previous suicidal attempts were considered as high risk. CVs were trained to deliver CASP intervention to high-risk individuals. Change from baseline to follow-up was computed for intervention and control groups, and the difference between changes in suicide rates was compared using proportion test., RESULTS: In total, 639 refugees from intervention and 664 from control camps participated. Of the 288 high-risk refugees in intervention camp, 139 completed the intervention. In the control camp, 187 were categorised as high risk. Prevalence of suicide attempts was 6.1%. Following intervention, differences between sites in changes in combined suicide (attempted suicides and suicides) rates per 100,000 per year were 519 (95% confidence interval (CI): 136-902; p<.01)., CONCLUSION: CASP, an intervention involving contact by CVs and use of safety planning cards, is feasible to implement and can reduce suicidal behaviour among refugees. Its replication in more settings will enhance validity.",2017,/,The International journal of social psychiatry,63,7,589-597,,http://dx.doi.org/10.1177/0020764017723940,622752068,#329,Sriram 2017,Exclusion reason: Wrong patient population; ,""
"Marginalisation, discrimination and the health of Latino immigrant day labourers in a central North Carolina community","Fleming, Paul J.; Villa-Torres, Laura; Barrington, Clare; Taboada, Arianna; Richards, Chelly ","The morbidity and mortality of Latino immigrants in the United States (US) stem from a complex mix of policy, culture, discrimination and economics. Immigrants working as day labourers may be particularly vulnerable to the negative influences of these social factors due to limited access to social, financial and legal resources. We aimed to understand how the health of male Latino day labourers in North Carolina, US is influenced by their experiences interacting with their community and perceptions of their social environment. To respond to our research questions, we conducted three focus groups (n = 9, n = 10, n = 10) and a photovoice project (n = 5) with Latino male immigrants between October 2013 and March 2014. We conducted a thematic analysis of transcripts from the discussions in the focus groups and the group discussions with Photovoice participants. We found that men's health and well-being were primarily shaped by their experiences and feelings of discrimination and marginalisation. We identified three main links between discrimination/marginalisation and poor health: (i) dangerous work resulted in workplace injuries or illnesses; (ii) unsteady employment caused stress, anxiety and insufficient funds for healthcare; and (iii) exclusionary policies and treatment resulted in limited healthcare accessibility. Health promotion with Latino immigrant men in new settlement areas could benefit from community-building activities, addressing discrimination, augmenting the reach of formal healthcare and building upon the informal mechanisms that immigrants rely on to meet their health needs. Reforms to immigration and labour policies are also essential to addressing these structural barriers to health for these men.Copyright © 2016 John Wiley & Sons Ltd.",2017,/,Health & social care in the community,25,2,527-537,,http://dx.doi.org/10.1111/hsc.12338,620860344,#335,Fleming 2017,Exclusion reason: Wrong intervention; ,""
Healing the traumatized minds of refugees,Anonymous.,,2016,/,Nature,538,7624,139,,http://dx.doi.org/10.1038/538139a,612716521,#352,Anonymous 2016,Exclusion reason: Wrong intervention; ,""
"Medical and mental health needs of unaccompanied, undocumented adolescents in New York City: A qualitative, interview-based study","Teitel, Yakira H. ","Purpose: The purpose of this study is to identify the medical and mental health needs of unaccompanied, undocumented adolescent immigrants in New York City, and to formulate program and policy initiatives to address these needs. While by no means a novel phenomenon, unaccompanied immigration to the United States has increased dramatically in recent years, doubling yearly from 2011 to 2013, then increasing more than three-fold in 2014, when approximately 68,000 unaccompanied minors were apprehended crossing the southwestern US border. More than three quarters of these youth were between 14 and 18 years old, indicating that this recent ""surge"" demands the particular attention of the adolescent health community. Method(s): This study consisted of in-depth, individual interviews with 14 professionals who spend at least 50% of their time working with unaccompanied, undocumented youth in New York City. The categories of professionals recruited and interviewed-lawyers, medical and mental health providers, social workers, teachers and community advocatesd were chosen to represent the professions with whom unaccompanied adolescents have the most interaction. Four of the 14 were themselves formerly undocumented youth. Domains addressed in semi-structured interviews included: participants' perceptions of medical and mental health needs among unaccompanied immigrant youth; their experiences interacting with other professionals and implementing programs to address these needs; and identifying strengths and assets of unaccompanied immigrant youth. All interviews were audio recorded, then transcribed and coded by a single analyst using thematic analysis. Result(s): Key themes were: 1) mental health issues and symptoms; 2) medical concerns and associated barriers to care; 3) strengths and assets; and 4) successful interventions. Mental health concerns included trauma experienced before, during and after migration (mentioned by every participant); depression (mentioned by 7 participants); and anxiety (mentioned by 5 participants), as well as nightmares, panic disorders, inability to focus and stress. Trauma was discussed in depth, with significant distinctions drawn between complex trauma and post-traumatic stress. Medical concerns included occupational health risks, the need for preventive health care and barriers to care for undocumented adolescents. In terms of strengths and assets, all participants spoke to the resilience of unaccompanied immigrant youth and identified specific manifestations of this characteristic. Finally, participants spoke about interventions that have been successful in addressing some of the mental and medical health needs of unaccompanied, undocumented adolescents. Conclusion(s): This study presents a nuanced picture of the needs and assets of unaccompanied adolescent immigrants in New York City based on in-depth interviews with key professionals working directly with this population. Utilizing a strengths-based perspective, the study also proposes innovative programming and policies to address these needs. The study's concluding recommendations include promoting integration of services, concerted outreach efforts and social, cultural and recreational programming to meet the needs of unaccompanied adolescent immigrants. While this study focuses specifically on unaccompanied adolescents in New York City, it reveals a complex set of needs and innovative approaches that may translate to other communities where unaccompanied adolescent immigrants live across the United States.",2016,/,Journal of Adolescent Health,58,2 SUPPL. 1,S44-S45,,,72341631,#363,Teitel 2016,Exclusion reason: No full text; ,""
"Environmental risk and maternal mental health: Do risk factors differ among non-hispanic, hispanic, and hispanic-immigrant mothers?","Link, Natasha; Hurwich-Reiss, Eliana; McFadyen-Ketchum, Lisa; Watamura, Sarah Enos ","Introduction: When mother's mental health is compromised, children are at greater risk for poor behavioral (Goodman et al., 2011), cognitive (Petterson & Albers, 2001) and health (Zeller et al., 2007) outcomes. Despite these established links for European Americans, fewer studies have examined parental mental health and child outcomes in Hispanic immigrants. Importantly, some key risks may operate differently for Hispanic-immigrant families (Badanes et al. 2014). Thus, issues of measurement variance are important to address to accurately identify families for services. Participant(s): Participants were 123 parents (98% mothers) with a child (5-46 months) in Early Head Start. Parents were 36% (n=44) non-Hispanic, 18% (n=22) Hispanic, and 46% (n=57) Hispanic immigrant. Over 86% of families were living in poverty (<=200% FPL). Method(s): To decrease literacy and cultural barriers, all data were collected via caregiver interview by a bicultural and bilingual research team. Adverse child experiences were calculated via the ACE calculator (Feletti et al. 1991). Parent depression was assessed via the Center for Epidemiological Depression Scale (Radlooff, 1977), anxiety via the Generalized Anxiety Disorder-7 scale (Spitzer et al. 2006), and parenting stress by the Parenting Stress Index (Abidin 1983). Results were compared for non-Hispanic, Hispanic, and Hispanic-immigrants. Result(s): For all parents, income and education were unrelated to current depression, anxiety, or parenting stress. Non-Hispanics' ACE and economic hardship, respectively, related to parent depression (r=.58, p<.001; r=.53, p<.001), anxiety (r=.52, p<.001; r=.57, p<.001) and parenting stress (r=.42; p<.01; r=.45, p<.01). For Hispanics, ACE related to depression (r=.43, p<.05) and anxiety (r=.70, p<.001), but not parenting stress. For Hispanic-immigrants, ACE and economic hardship only related to anxiety (r=.29, p<.05; r=.37, p<.01). Discussion(s): Results show that risks differ for non-Hispanic and Hispanic parents. This may indicate important measurement variance or mean that different risks predict poor outcomes for different groups. Understanding how to measure risk for Hispanic immigrant families is crucial considering the U.S.'s rapidly changing population. Accurately determining risks may help physicians, clinicians, and researchers to determine appropriate families to refer to intervention.",2016,/,Psychosomatic Medicine,78,3,A68,,http://dx.doi.org/10.1097/PSY.0000000000000343,72259964,#365,Link 2016,Exclusion reason: No full text; ,""
Somali Immigrant New Mothers' Childbirth Experiences in Minnesota,"Missal, Bernita; Clark, Connie; Kovaleva, Mariya ","PURPOSE: To explore Somali immigrant new mothers' experience of childbirth in Minnesota., DESIGN: The ethnonursing research method was used. Semistructured interviews with 12 immigrant Somali mothers in a Midwestern metropolitan area were conducted. Analysis of the data followed Leininger and McFarland's four-phase ethnonursing data analysis guide., RESULTS: Six themes were identified in relation to Somali immigrant new mothers' experience of childbirth in the United States: the limitations of support due to separation from family, the importance of cultural and religious beliefs and practices, the desired relationships with nurses, the fear of Cesarean section, the value of education, and views on postpartum blues/depression., CONCLUSIONS AND IMPLICATIONS FOR PRACTICE: Nurses should develop trusting relationships with Somali mothers and facilitate cultural and religious practices. Information regarding support resources in the community should be provided to Somali mothers.Copyright © The Author(s) 2015.",2016,/,Journal of transcultural nursing : official journal of the Transcultural Nursing Society,27,4,359-367,,http://dx.doi.org/10.1177/1043659614565248,618408242,#373,Missal 2016,Exclusion reason: Wrong outcomes; ,""
Cultural Influence on Coping Strategies of Filipino Immigrant Nurses,"Connor, Jorgia B. ","Much of the research on internationally educated nurses (IENs) has focused on the challenges they encounter in the United States and how they can best be integrated into the workplace. Despite their many challenges, Filipino IENs continue to come to the United States and thrive, bringing with them diverse experience and knowledge that contribute to the provision of quality care to a patient population that is becoming increasingly diverse. Although a substantial body of research has been published on IEN coping, fewer studies have focused on the influence of culture on Filipino IEN's preferred coping strategies. This study contributes to the burgeoning interest in understanding culture's influence on coping patterns and preferences among diverse populations. Occupational health nurses and administrators can use these findings to develop culturally appropriate health promotion programs and interventions to retain quality nurses and promote healthier workplaces. Copyright © 2016 The Author(s).",2016,/,Workplace health & safety,64,5,195-201,,http://dx.doi.org/10.1177/2165079916630553,615256118,#379,Connor 2016,Exclusion reason: Wrong intervention; ,""
Factors Associated with Willingness to Use Mental Health Services in Korean Immigrants,"Lee, Sharon; Jang, Yuri ","Responding to the concern about underutilization of mental health services in immigrant populations, the present study explored the factors associated with Korean immigrants' willingness to use mental health services. Guided by Andersen's behavioral model, consideration was given to the role of predisposing (age, gender, marital status, education, and years in the United States), need (depressive symptoms), and enabling (health insurance, acculturation, and personal beliefs about depression) variables. The study estimated, using data from a sample of 205 Korean immigrants (ages 18-45), a logistic regression model of willingness to use mental health services. Although participants experiencing more depressive symptoms tend to be less willing to use these services (odds ratio [OR] = .89, p < .05), an increase in the odds of willingness to use them are found among women (OR = 2.52, p < .01), highly acculturated individuals (OR = 1.09, p < .05), and individuals who believe that depression is a medical condition (OR = 4.71, p < .01). Educational interventions focused on increasing mental health literacy may be beneficial in promoting mental health services for Korean immigrants.",2016,/,Social work in public health,31,3,196-203,,http://dx.doi.org/10.1080/19371918.2015.1125319,615187340,#385,Lee 2016,Exclusion reason: Wrong outcomes; ,""
Psychological trauma and help seeking behaviour amongst resettled Iraqi refugees in attending English tuition classes in Australia,"Slewa-Younan, Shameran; Mond, Jonathan M.; Bussion, Elise; Melkonian, Maral; Mohammad, Yaser; Dover, Hanan; Smith, Mitchell; Milosevic, Diana; Jorm, Anthony Francis ","Background: To examine levels of psychological distress and help seeking behaviour in resettled refugees attending English tuition classes in Australia, and their associations with participants' demographic characteristics. Method(s): Data was collected by bilingual interviewers between March and November 2013. A volunteer sample of attendees of Adult Migrant English Programs (AMEP) in Western Sydney were recruited. Participants were two hundred and twenty five Iraqi refugees resettled in Western Sydney, who had left Iraq no earlier than 1991, were fluent in Arabic and/or English, and were between the ages of 18 and 70. The chief outcome measures used were the Kessler Psychological Distress Scale (K-10) as well as The Harvard Trauma Questionnaire (HTQ). Result(s): On the K-10, 39.8% of participants had severe psychological distress, 19.4% moderate distress, and 40.7% had low to mild distress. Ninety-five percent of participants reported having experienced one or more potentially traumatic event (PTE) as defined by the HTQ prior to leaving Iraq, with a mean of 14.28 events (SD = 8.69). Thirty-one percent of participants met the threshold (>=2.5) for clinically significant PTSD symptomatology, with a significantly higher occurrence among participants with lower education attainment (chi2 (3) = 8.26, p =04). Of those participants with clinically significant PTSD symptomatology according to the HTQ, only 32.9% reported ever having ever sought help for a mental health problem. Conclusion(s): The high level of distress found in this sample, combined with low uptake of mental health care, highlights the need for programs targeted to promote help-seeking among Iraqi refugees who have resettled in Australia. Further, the higher level of PTSD symptomatology found amongst those with lower education attainment has mental health promotion and treatment implications. Specifically, in designing service and treatment programs, consideration should be given to the possible impact excessive levels of psychological distress may have on learning in refugees, to ensure that those who have been unable to develop proficiency in the English language receive effective care.Copyright © Slewa-Younan et al.; licensee BioMed Central.",2015,/,International Journal of Mental Health Systems,9,1,5,,http://dx.doi.org/10.1186/1752-4458-9-5,604304018,#388,Slewa-Younan 2015,Exclusion reason: Wrong patient population; ,Excluded but relevant
